age,qx
0,0.00586
1,0.00042
2,0.000272
3,0.000225
4,0.000184
5,0.000157
6,0.00014
7,0.000128
8,0.000122
9,0.000123
10,0.000129
11,0.000138
12,0.000164
13,0.00022
14,0.00031
15,0.000446
16,0.000637
17,0.000868
18,0.0011
19,0.00127
20,0.001373
21,0.001488
22,0.001605
23,0.001714
24,0.001835
25,0.001963
26,0.002082
27,0.002202
28,0.00233
29,0.002457
30,0.002574
31,0.002683
32,0.002787
33,0.002881
34,0.002974
35,0.003074
36,0.003175
37,0.003295
38,0.003444
39,0.003608
40,0.00378
41,0.003958
42,0.004144
43,0.004337
44,0.00454
45,0.004774
46,0.005064
47,0.005399
48,0.005796
49,0.006214
50,0.006671
51,0.007167
52,0.007736
53,0.008351
54,0.009035
55,0.00977
56,0.010567
57,0.011398
58,0.012291
59,0.013224
60,0.014267
61,0.015353
62,0.016484
63,0.017617
64,0.018759
65,0.019914
66,0.021104
67,0.022423
68,0.023847
69,0.025357
70,0.02705
71,0.02897
72,0.031188
73,0.033754
74,0.036747
75,0.040563
76,0.044308
77,0.048498
78,0.053229
79,0.058778
80,0.064617
81,0.070947
82,0.077834
83,0.085686
84,0.094809
85,0.10509
86,0.116592
87,0.129306
88,0.142732
89,0.157638
90,0.174458
91,0.193027
92,0.21293
93,0.232657
94,0.251826
95,0.270943
96,0.289756
97,0.307998
98,0.325393
99,0.341662
100,0.358746
101,0.376683
102,0.395517
103,0.415293
104,0.436058
105,0.45786
106,0.480753
107,0.504791
108,0.530031
109,0.556532
110,0.584359
111,0.613577
112,0.644256
113,0.676468
114,0.710292
115,0.745806
116,0.783097
117,0.822251
118,0.863364
119,0.906532
