age,qx
0,0.005063
1,0.000393
2,0.000223
3,0.000177
4,0.000144
5,0.000122
6,0.000109
7,0.000102
8,9.8e-05
9,9.7e-05
10,0.000103
11,0.000113
12,0.000131
13,0.000157
14,0.00019
15,0.000233
16,0.000291
17,0.000355
18,0.000418
19,0.000461
20,0.000507
21,0.000556
22,0.00061
23,0.000666
24,0.000722
25,0.000775
26,0.000831
27,0.000889
28,0.000952
29,0.001025
30,0.001104
31,0.001192
32,0.001289
33,0.001383
34,0.001465
35,0.001544
36,0.001626
37,0.001719
38,0.001824
39,0.00194
40,0.002066
41,0.002202
42,0.002351
43,0.002482
44,0.002622
45,0.002789
46,0.002994
47,0.003219
48,0.003467
49,0.003729
50,0.004011
51,0.004306
52,0.004634
53,0.004981
54,0.00537
55,0.005831
56,0.006326
57,0.006837
58,0.007399
59,0.008033
60,0.008687
61,0.009411
62,0.010139
63,0.010849
64,0.01155
65,0.012216
66,0.012952
67,0.013844
68,0.014863
69,0.016028
70,0.017329
71,0.018859
72,0.020609
73,0.02262
74,0.024958
75,0.027906
76,0.030925
77,0.03414
78,0.03762
79,0.041725
80,0.046324
81,0.051334
82,0.056911
83,0.063279
84,0.070704
85,0.079184
86,0.088697
87,0.09924
88,0.11048
89,0.123078
90,0.137152
91,0.152605
92,0.169494
93,0.187623
94,0.206647
95,0.22589
96,0.245054
97,0.263815
98,0.281828
99,0.298738
100,0.316662
101,0.335662
102,0.355802
103,0.37715
104,0.399779
105,0.423766
106,0.449192
107,0.476143
108,0.504712
109,0.534994
110,0.567094
111,0.60112
112,0.637187
113,0.675418
114,0.710292
115,0.745806
116,0.783097
117,0.822251
118,0.863364
119,0.906532
